user_id,person,current_age,retirement_age,birth_year,birth_month,gender,city,state,zipcode,per_capita_income_zipcode,yearly_income_person,total_debt,fico_score
1,Hazel Robinson,53,66,1966,11,Female,La Verne,CA,91750,29278.0,59696.0,127613.0,787
2,Sasha Sadr,53,68,1966,12,Female,Little Neck,NY,11363,37891.0,77254.0,191349.0,701
3,Saanvi Lee,81,67,1938,11,Female,West Covina,CA,91792,22681.0,33483.0,196.0,698
4,Everlee Clark,63,63,1957,1,Female,New York,NY,10069,163145.0,249925.0,202328.0,722
5,Kyle Peterson,43,70,1976,9,Male,San Francisco,CA,94117,53797.0,109687.0,183855.0,675
6,Aldo Walker,42,70,1977,10,Male,Davenport,IA,52803,20599.0,41997.0,0.0,704
7,Katalina Lewis,36,67,1983,12,Female,Louisville,KY,40299,25258.0,51500.0,102286.0,672
8,Ryland Howard,26,67,1993,12,Male,Portland,OR,97214,26790.0,54623.0,114711.0,728
9,Kenya Cooper,81,66,1938,7,Female,Telford,PA,18969,26273.0,42509.0,2895.0,755
10,Sawyer Butler,34,60,1986,1,Female,Abbeville,LA,70510,18730.0,38190.0,81262.0,810
11,Antonio Ryan,27,66,1992,6,Male,Fair Oaks,CA,95628,27548.0,56164.0,15224.0,761
12,Elliot Edwards,29,63,1990,9,Female,Greeley,CO,80634,22427.0,45727.0,94016.0,629
13,Romina Garcia,18,67,2002,1,Female,Cranston,RI,2921,33914.0,69149.0,89214.0,776
14,Keanu Chen,34,62,1985,10,Male,Traverse City,MI,49686,20325.0,41442.0,78833.0,712
15,Poppy Flores,48,62,1971,5,Female,San Antonio,TX,78207,10059.0,20513.0,32509.0,599
16,Riya Cruz,41,68,1978,4,Female,Boise City,OK,73933,11342.0,23123.0,5079.0,723
17,Saul Walker,54,71,1966,1,Male,Henderson,TX,75652,17898.0,36497.0,38333.0,719
18,Anahi Rogers,76,71,1943,8,Female,Flagstaff,AZ,86004,21950.0,27484.0,16803.0,660
19,Cayden Rivera,22,68,1997,11,Male,Charlotte,NC,28269,26481.0,53995.0,89056.0,683
20,Cristiano Jenkins,66,68,1953,10,Male,Tucson,AZ,85711,17460.0,35602.0,55369.0,661
21,Blaine Murphy,28,57,1991,8,Male,Helena,GA,31037,12321.0,25122.0,43205.0,819
22,Grayson Diaz,18,65,2002,1,Male,Portola Valley,CA,94028,106305.0,216740.0,0.0,700
23,Yadiel Miller,76,66,1943,6,Male,Cleveland,OH,44134,19524.0,41109.0,21486.0,698
24,Roland King,70,64,1949,4,Male,Tyronza,AR,72386,14172.0,26858.0,11245.0,712
25,Cole Xi,45,65,1975,1,Male,Central Point,OR,97502,17131.0,34929.0,63849.0,714
26,Jade Green,36,63,1983,8,Female,Mesa,AZ,85201,16829.0,34317.0,61826.0,610
27,Amaya Stewart,40,66,1979,4,Female,Houston,TX,77061,15389.0,31377.0,59615.0,722
28,Grant Gray,37,58,1982,9,Male,Van Nuys,CA,91411,21402.0,43638.0,104052.0,627
29,Oliver Reed,41,67,1978,11,Male,Cookeville,TN,38501,15955.0,32531.0,38260.0,766
30,Aminah Collins,37,72,1983,2,Female,Whites Creek,TN,37189,20657.0,42120.0,72801.0,739
31,Ulises Neufelder,18,64,2001,5,Male,Columbus,OH,43230,28092.0,57281.0,89114.0,850
32,Tristan Hughes,49,66,1970,9,Male,Miami,FL,33175,18828.0,38390.0,87923.0,783
33,Madalynn Gutierrez,33,69,1986,9,Female,Southport,NC,28461,17498.0,35670.0,58182.0,751
34,Rosa Faraday,21,66,1998,9,Female,Old Saybrook,CT,6475,30281.0,61746.0,154817.0,637
35,Brynn Allen,47,65,1972,11,Female,Mobile,AL,36693,21331.0,43496.0,114563.0,765
36,Aden Adams,41,55,1978,8,Male,Sacramento,CA,95829,25431.0,51854.0,72162.0,737
37,Haylee Baker,51,68,1968,4,Female,Chula Vista,CA,91911,16942.0,34540.0,22641.0,793
38,Nehemiah Turner,46,62,1973,11,Male,Hanover Park,IL,60133,20248.0,41287.0,88151.0,662
39,Simon Adams,46,70,1973,10,Male,Seaside,CA,93955,18663.0,38054.0,63293.0,666
40,Sunny King,59,62,1961,2,Female,Northborough,MA,1532,39418.0,80371.0,108499.0,822
41,Harper Jackson,91,68,1929,2,Female,Overland Park,KS,66221,51642.0,84694.0,2149.0,741
42,Thomas Burns,79,72,1941,2,Male,Corpus Christi,TX,78410,23608.0,37503.0,14272.0,706
43,Titan Flores,57,75,1962,12,Male,Chandler,AZ,85226,32056.0,65357.0,21844.0,685
44,Leslie Myers,26,52,1994,1,Female,Immokalee,FL,34142,10819.0,22066.0,38967.0,842
45,Joaquin Parker,42,66,1977,11,Male,Port Orange,FL,32128,21916.0,44681.0,42011.0,770
46,Butch Brooks,26,69,1994,2,Male,Maryland Heights,MO,63043,25163.0,51306.0,68198.0,675
47,Kiera Allen,18,59,2002,2,Female,San Antonio,TX,78210,12677.0,25847.0,46379.0,568
48,Lylah Peres,60,64,1959,11,Female,Longwood,FL,32750,22896.0,46683.0,93126.0,788
49,Ty Jackson,61,66,1958,11,Male,Milwaukee,WI,53210,15487.0,31579.0,52419.0,771
50,Bodhi Nguyen,47,65,1972,10,Male,Camilla,GA,31730,13759.0,28055.0,12475.0,829
51,Chaya Howard,42,68,1977,12,Female,Canton,MI,48188,32078.0,65403.0,80057.0,784
52,Kyleigh Rogers,55,73,1964,11,Female,La Follette,TN,37766,13522.0,27572.0,59404.0,797
53,Mikaela Martin,48,70,1971,12,Female,Inman,SC,29349,18899.0,38539.0,0.0,850
54,Luella Perry,41,57,1978,7,Female,Poca,WV,25159,18666.0,38059.0,68220.0,634
55,Lainey Gutierrez,59,68,1960,11,Female,Leander,TX,78641,25872.0,52754.0,38191.0,693
56,Marvin Anwar,45,59,1975,2,Male,Rego Park,NY,11374,25109.0,51196.0,67164.0,631
57,Holden Taylor,26,70,1993,7,Male,Atlanta,GA,30318,24382.0,49713.0,91776.0,763
58,Aiyana Abe,21,68,1998,4,Female,Toledo,OH,43623,21660.0,44160.0,134173.0,696
59,Milani Merkel,46,59,1973,5,Female,Houston,TX,77056,95039.0,193773.0,241571.0,660
60,Princess Cooper,41,66,1979,2,Female,Mount Union,PA,17066,14650.0,29864.0,44902.0,717
61,Wyatt Davis,22,67,1997,7,Male,San Antonio,TX,78232,28135.0,57367.0,115418.0,795
62,Nathalie Faraday,63,58,1957,2,Female,Black Diamond,WA,98010,32697.0,56635.0,13015.0,786
